date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:25	74946/74946	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-124c2%22	https://html.crumina.net/puzzler/index.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/index.html	(from )
11:33:26	199/199	---M--	403	error ('Forbidden')	text/html	date:Wed,%2008%20Jan%202025%2006:04:05%20GMT	https://html.crumina.net/robots.txt		(from )
11:33:27	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2008%20Jan%202025%2006:04:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/yesLiving/yesLiving/www.googletagmanager.com/gtm.15445.delayed	(from https://html.crumina.net/puzzler/index.html)
11:33:27	245085/245085	---MCZ	200	added ('OK')	text/css	etag:W/%22602c0899-3bd5d%22	https://html.crumina.net/puzzler/css/vendors/Bootstrap/bootstrap.css	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/css/vendors/Bootstrap/bootstrap.css	(from https://html.crumina.net/puzzler/index.html)
11:33:27	85968/85968	---MCZ	200	added ('OK')	text/css	etag:W/%22602c0899-14fd0%22	https://html.crumina.net/puzzler/css/font-awesome.css	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/css/font-awesome.css	(from https://html.crumina.net/puzzler/index.html)
11:33:28	330775/330775	---MCZ	200	added ('OK')	text/css	etag:W/%22602c0899-50c17%22	https://html.crumina.net/puzzler/css/main.css	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/css/main.css	(from https://html.crumina.net/puzzler/index.html)
11:33:28	2358/2358	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22602c0892-936%22	https://html.crumina.net/puzzler/img/svg/01_logo_white.svg	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/img/svg/01_logo_white.svg	(from https://html.crumina.net/puzzler/index.html)
11:33:28	61741/61741	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-f12d%22	https://html.crumina.net/puzzler/02_how_it_works.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/02_how_it_works.html	(from https://html.crumina.net/puzzler/index.html)
11:33:28	45329/45329	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-b111%22	https://html.crumina.net/puzzler/03_job_lists_row_map.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/03_job_lists_row_map.html	(from https://html.crumina.net/puzzler/index.html)
11:33:28	45926/45926	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-b366%22	https://html.crumina.net/puzzler/04_job_lists_grid.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/04_job_lists_grid.html	(from https://html.crumina.net/puzzler/index.html)
11:33:29	41966/41966	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-a3ee%22	https://html.crumina.net/puzzler/05_job_details.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/05_job_details.html	(from https://html.crumina.net/puzzler/index.html)
11:33:29	42274/42274	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-a522%22	https://html.crumina.net/puzzler/06_company_profile.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/06_company_profile.html	(from https://html.crumina.net/puzzler/index.html)
11:33:29	36466/36466	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-8e72%22	https://html.crumina.net/puzzler/07_company_lists_alphabet.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/07_company_lists_alphabet.html	(from https://html.crumina.net/puzzler/index.html)
11:33:29	44820/44820	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-af14%22	https://html.crumina.net/puzzler/08_candidate_lists_row_map.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/08_candidate_lists_row_map.html	(from https://html.crumina.net/puzzler/index.html)
11:33:29	40154/40154	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-9cda%22	https://html.crumina.net/puzzler/09_candidate_lists_grid.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/09_candidate_lists_grid.html	(from https://html.crumina.net/puzzler/index.html)
11:33:30	43360/43360	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-a960%22	https://html.crumina.net/puzzler/10_candidate_details.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/10_candidate_details.html	(from https://html.crumina.net/puzzler/index.html)
11:33:30	28226/28226	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-6e42%22	https://html.crumina.net/puzzler/11_submit_resume.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/11_submit_resume.html	(from https://html.crumina.net/puzzler/index.html)
11:33:30	30016/30016	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-7540%22	https://html.crumina.net/puzzler/12_resume_preview.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/12_resume_preview.html	(from https://html.crumina.net/puzzler/index.html)
11:33:30	23301/23301	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-5b05%22	https://html.crumina.net/puzzler/13_resume_added.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/13_resume_added.html	(from https://html.crumina.net/puzzler/index.html)
11:33:31	39041/39041	---MCZ	200	added ('OK')	text/html	etag:W/%22602c0899-9881%22	https://html.crumina.net/puzzler/15_news_grid.html	C:/My%20Web%20Sites/yesLiving/yesLiving/html.crumina.net/puzzler/15_news_grid.html	(from https://html.crumina.net/puzzler/index.html)
